level_1,Date,Open,High,Low,Close,Volume,Time,Rank
0,2024-01-01,642.2,642.7,641.0,641.95,89481,09:15:00,1
1,2024-01-01,641.95,642.85,641.95,642.45,48965,09:16:00,1
2,2024-01-01,642.7,644.0,642.7,643.5,65729,09:17:00,1
3,2024-01-01,643.9,644.55,643.3,643.4,47909,09:18:00,1
4,2024-01-01,643.7,644.1,643.45,643.75,27645,09:19:00,1
5,2024-01-01,643.75,644.0,643.2,643.45,39094,09:20:00,1
6,2024-01-01,643.3,643.95,643.3,643.6,11082,09:21:00,1
7,2024-01-01,643.6,643.95,643.2,643.4,22129,09:22:00,1
8,2024-01-01,643.35,643.9,643.3,643.55,9470,09:23:00,1
9,2024-01-01,643.55,645.7,643.55,645.5,91865,09:24:00,1
10,2024-01-01,645.55,645.65,644.5,645.0,37769,09:25:00,1
11,2024-01-01,644.65,644.95,644.25,644.4,18947,09:26:00,1
12,2024-01-01,643.85,644.25,643.7,643.9,14860,09:27:00,1
13,2024-01-01,644.2,644.45,643.6,644.45,13256,09:28:00,1
14,2024-01-01,644.45,644.45,643.8,644.0,12833,09:29:00,1
15,2024-01-01,643.7,644.2,643.5,644.1,13928,09:30:00,1
16,2024-01-01,644.1,644.15,643.35,643.7,13346,09:31:00,1
17,2024-01-01,643.5,643.95,643.4,643.65,6099,09:32:00,1
18,2024-01-01,643.8,644.45,643.05,644.4,31106,09:33:00,1
19,2024-01-01,644.4,645.0,644.1,644.8,22183,09:34:00,1
20,2024-01-01,644.8,645.0,644.5,644.6,16095,09:35:00,1
21,2024-01-01,644.6,644.9,644.15,644.85,30302,09:36:00,1
22,2024-01-01,644.8,644.9,644.1,644.35,17571,09:37:00,1
23,2024-01-01,644.3,644.55,644.0,644.45,36734,09:38:00,1
24,2024-01-01,644.45,644.45,643.25,643.4,63096,09:39:00,1
25,2024-01-01,643.25,644.1,643.05,643.8,19989,09:40:00,1
26,2024-01-01,643.8,644.45,643.5,643.7,23776,09:41:00,1
27,2024-01-01,644.0,644.15,643.5,643.5,12044,09:42:00,1
28,2024-01-01,643.5,644.0,643.5,643.75,7502,09:43:00,1
29,2024-01-01,643.75,643.75,643.05,643.25,22172,09:44:00,1
30,2024-01-01,643.3,643.85,643.3,643.6,14832,09:45:00,1
31,2024-01-01,643.4,644.0,643.1,643.9,21881,09:46:00,1
32,2024-01-01,643.6,643.9,643.15,643.5,16708,09:47:00,1
33,2024-01-01,643.35,644.1,643.35,644.0,25735,09:48:00,1
34,2024-01-01,644.0,645.05,644.0,644.8,52177,09:49:00,1
35,2024-01-01,644.95,645.0,644.75,645.0,12346,09:50:00,1
36,2024-01-01,645.0,645.0,644.3,644.3,16676,09:51:00,1
37,2024-01-01,644.3,645.0,644.3,645.0,9333,09:52:00,1
38,2024-01-01,644.85,645.95,644.85,645.8,59883,09:53:00,1
39,2024-01-01,645.8,645.95,645.15,645.35,51081,09:54:00,1
40,2024-01-01,645.4,646.45,645.35,646.05,126600,09:55:00,1
